cell_id,Catharus guttatus,Catharus guttatus [guttatus Group],Catharus guttatus [auduboni Group],Catharus guttatus faxoni/crymophilus
8428155ffffffff,9.0,0.0,0.0,0.0
8428157ffffffff,20.0,0.0,0.0,0.0
842815bffffffff,2.0,0.0,0.0,0.0
8428181ffffffff,8.0,0.0,0.0,0.0
8428183ffffffff,13.0,0.0,0.0,0.0
8428189ffffffff,39.0,0.0,0.0,0.0
842818bffffffff,28.0,0.0,0.0,0.0
8428195ffffffff,8.0,0.0,0.0,0.0
842819dffffffff,4.0,0.0,0.0,0.0
84281a1ffffffff,1.0,0.0,0.0,0.0
84281a5ffffffff,4.0,0.0,0.0,0.0
84281b7ffffffff,3.0,0.0,0.0,0.0
84281b9ffffffff,1.0,0.0,0.0,0.0
84281c3ffffffff,29.0,0.0,0.0,0.0
84281c7ffffffff,5.0,0.0,0.0,0.0
84281d5ffffffff,15.0,0.0,0.0,0.0
84281ddffffffff,4.0,0.0,0.0,0.0
84281e5ffffffff,1.0,0.0,0.0,0.0
84281e9ffffffff,5.0,1.0,0.0,0.0
84281ebffffffff,2.0,0.0,0.0,0.0
84281edffffffff,3.0,0.0,0.0,0.0
8428301ffffffff,9.0,0.0,0.0,0.0
8428303ffffffff,4.0,0.0,0.0,0.0
8428305ffffffff,15.0,0.0,0.0,0.0
8428307ffffffff,48.0,0.0,0.0,0.0
8428309ffffffff,70.0,0.0,0.0,0.0
842830bffffffff,22.0,6.0,0.0,0.0
842830dffffffff,41.0,0.0,0.0,0.0
8428311ffffffff,7.0,7.0,0.0,0.0
8428317ffffffff,2.0,0.0,0.0,0.0
842831dffffffff,3.0,2.0,0.0,0.0
8428329ffffffff,11.0,0.0,0.0,0.0
842832bffffffff,5.0,0.0,0.0,0.0
8428341ffffffff,826.0,346.0,0.0,0.0
8428343ffffffff,213.0,0.0,0.0,0.0
8428345ffffffff,12.0,7.0,0.0,0.0
